"x";"y";"roughness"
-27;-6,5;0
-27;-6;0
-27;-3,5;0
-27;-3;0
-27;-2,5;0
-27;-2;0
-27;-1,5;0,0943980932010811
-27;-1;0
-27;0;0
-27;0,5;0
-27;1;0
-27;1,5;0
-27;2;0
-27;2,5;0
-27;3;0
-27;3,5;0
-26,5;-12,5;0
-26,5;-12;0
-26,5;-11,5;0
-26,5;-11;0
-26,5;-10,5;0
-26,5;-10;0
-26,5;-9,5;0
-26,5;-9;0,0438406204335659
-26,5;-8,5;0
-26,5;-8;0
-26,5;-7,5;0,226803359182054
-26,5;-7;0,130086101664067
-26,5;-6,5;0,126174306710039
-26,5;-6;0,136493851248221
-26,5;-4,5;0,0571110030262704
-26,5;-4;0
-26,5;-3,5;0
-26,5;-3;0
-26,5;-2,5;0
-26,5;-2;0
-26,5;-1,5;0,0917251328698956
-26,5;-1;0,166146374161637
-26,5;-0,5;0,111722871427475
-26,5;0;0
-26,5;0,5;0
-26,5;1;0
-26,5;1,5;0
-26,5;2;0
-26,5;2,5;0
-26,5;3;0,145033674250729
-26,5;3,5;0
-26,5;4;0
-26,5;4,5;0
-26,5;5;0,202469468597825
-26,5;5,5;0,151603375072369
-26;-18;0
-26;-17,5;0
-26;-17;0,219077421626846
-26;-16,5;0,154945510135373
-26;-16;0,129308459807461
-26;-15,5;0,126970469007561
-26;-15;0
-26;-14,5;0
-26;-14;0
-26;-13,5;0
-26;-13;0
-26;-12,5;0
-26;-12;0
-26;-11,5;0
-26;-11;0
-26;-10,5;0
-26;-10;0
-26;-9,5;0,0318198051533946
-26;-9;0,0504706421029663
-26;-8,5;0
-26;-8;0
-26;-7,5;0
-26;-7;0,029698484809835
-26;-6,5;0,162839310443274
-26;-6;0,132644889334895
-26;-5;0
-26;-4;0
-26;-3,5;0
-26;-3;0
-26;-2,5;0
-26;-2;0
-26;-1,5;0
-26;-1;0,182159270969116
-26;-0,5;0,0435545634807651
-26;0;0,158466119757856
-26;0,5;0,0282842712474619
-26;1;0
-26;1,5;0
-26;2;0
-26;2,5;0
-26;3;0,215674822746343
-26;3,5;0,129389245778298
-26;4;0,166013481953955
-26;4,5;0
-26;5;0,280314714528664
-26;5,5;0,224888182091555
-26;6;0
-26;6,5;0
-26;7;0
-25,5;-22,5;0
-25,5;-22;0
-25,5;-21,5;0
-25,5;-21;0
-25,5;-20,5;0
-25,5;-20;0
-25,5;-19,5;0
-25,5;-19;0
-25,5;-18,5;0
-25,5;-18;0
-25,5;-17,5;0
-25,5;-17;0,146963817439408
-25,5;-16,5;0,116271868344931
-25,5;-16;0,241643815011544
-25,5;-15,5;0,0870191549794258
-25,5;-15;0
-25,5;-14,5;0
-25,5;-14;0
-25,5;-13,5;0
-25,5;-13;0
-25,5;-12,5;0
-25,5;-12;0
-25,5;-11,5;0
-25,5;-11;0
-25,5;-10,5;0
-25,5;-10;0
-25,5;-9,5;0
-25,5;-9;0,122689894761875
-25,5;-8,5;0,0518402422282701
-25,5;-8;0
-25,5;-7,5;0,0345096604832135
-25,5;-7;0,155890987552199
-25,5;-6,5;0,121789025230793
-25,5;-5,5;0
-25,5;-5;0
-25,5;-4,5;0
-25,5;-4;0
-25,5;-3,5;0
-25,5;-3;0
-25,5;-2,5;0
-25,5;-2;0
-25,5;-1,5;0
-25,5;-1;0
-25,5;-0,5;0,114370887904221
-25,5;0;0,138864956668254
-25,5;0,5;0
-25,5;1;0
-25,5;1,5;0
-25,5;2;0
-25,5;2,5;0
-25,5;3;0,186563043582509
-25,5;3,5;0,138839803043259
-25,5;4;0
-25,5;4,5;0
-25,5;5;0,0906072108977352
-25,5;5,5;0,239292399861715
-25,5;6;0,218987225268776
-25,5;6,5;0,221536001588907
-25,5;7;0
-25,5;7,5;0
-25;-28,5;0
-25;-28;0
-25;-27,5;0
-25;-27;0
-25;-26,5;0
-25;-26;0
-25;-25;0
-25;-24,5;0
-25;-23;0
-25;-22,5;0
-25;-22;0
-25;-21,5;0
-25;-21;0
-25;-20,5;0
-25;-19,5;0
-25;-19;0
-25;-18,5;0
-25;-18;0
-25;-17,5;0
-25;-17;0
-25;-16,5;0
-25;-16;0
-25;-15,5;0
-25;-15;0
-25;-14,5;0
-25;-14;0
-25;-13,5;0
-25;-13;0
-25;-12,5;0
-25;-12;0
-25;-11,5;0
-25;-11;0
-25;-10,5;0
-25;-10;0
-25;-9,5;0
-25;-9;0,0453795107950714
-25;-8,5;0,015556349186104
-25;-8;0,061584630117154
-25;-7,5;0,042453896562428
-25;-7;0,135310014411351
-25;-6,5;0
-25;-6;0
-25;-5,5;0
-25;-5;0
-25;-4,5;0
-25;-4;0
-25;-3,5;0
-25;-3;0,311399030282058
-25;-2,5;0,194281411016769
-25;-2;0
-25;-1,5;0
-25;-1;0
-25;-0,5;0
-25;0;0,123788933269497
-25;0,5;0
-25;1;0
-25;1,5;0
-25;2;0
-25;3;0,14836553957484
-25;3,5;0,151099948525618
-25;4;0
-25;4,5;0
-25;5;0
-25;5,5;0,15980613254816
-25;6;0
-25;6,5;0,13650431092308
-25;7;0
-25;7,5;0
-25;8,5;0
-25;9;0
-25;9,5;0
-25;10;0
-24,5;-34;0
-24,5;-33,5;0
-24,5;-33;0
-24,5;-32,5;0
-24,5;-32;0
-24,5;-31,5;0
-24,5;-31;0
-24,5;-30,5;0
-24,5;-30;0
-24,5;-29,5;0
-24,5;-29;0
-24,5;-28,5;0
-24,5;-28;0
-24,5;-27,5;0
-24,5;-27;0
-24,5;-26,5;0
-24,5;-26;0
-24,5;-25,5;0
-24,5;-23;0,0405133722779693
-24,5;-20,5;0
-24,5;-20;0
-24,5;-19,5;0
-24,5;-19;0
-24,5;-18,5;0
-24,5;-18;0
-24,5;-17,5;0
-24,5;-17;0
-24,5;-16,5;0
-24,5;-16;0
-24,5;-15,5;0
-24,5;-15;0
-24,5;-14,5;0
-24,5;-14;0
-24,5;-12;0
-24,5;-11,5;0
-24,5;-11;0,101649129138156
-24,5;-10,5;0,156398516084179
-24,5;-10;0
-24,5;-9,5;0
-24,5;-9;0
-24,5;-8,5;0
-24,5;-8;0
-24,5;-7,5;0
-24,5;-7;0
-24,5;-6,5;0
-24,5;-6;0
-24,5;-5,5;0
-24,5;-5;0
-24,5;-4,5;0
-24,5;-4;0,0893994779999675
-24,5;-3,5;0,0789013576716158
-24,5;-3;0,292960791985934
-24,5;-2,5;0,323506091889105
-24,5;-2;0,101383759383181
-24,5;-1,5;0
-24,5;-1;0
-24,5;-0,5;0
-24,5;0;0,0575814123447754
-24,5;0,5;0,188072249781395
-24,5;1;0,243762179182908
-24,5;1,5;0
-24,5;2;0
-24,5;3;0
-24,5;3,5;0,133830560962805
-24,5;4;0,190282684446063
-24,5;4,5;0,141469372421501
-24,5;5;0,114791114638721
-24,5;5,5;0
-24,5;6;0
-24,5;6,5;0
-24,5;7;0
-24,5;7,5;0
-24,5;9;0
-24,5;9,5;0
-24,5;10;0
-24,5;11;0
-24;-40;0
-24;-39,5;0
-24;-39;0
-24;-38,5;0
-24;-38;0
-24;-37,5;0
-24;-37;0
-24;-36,5;0
-24;-36;0
-24;-35,5;0
-24;-35;0
-24;-34;0
-24;-33,5;0
-24;-33;0
-24;-32,5;0
-24;-32;0
-24;-31,5;0
-24;-31;0
-24;-30,5;0
-24;-30;0
-24;-29,5;0,0320767309223784
-24;-29;0
-24;-28,5;0
-24;-28;0
-24;-27,5;0
-24;-27;0
-24;-26,5;0
-24;-26;0
-24;-25,5;0
-24;-25;0
-24;-24,5;0
-24;-21;0
-24;-20,5;0
-24;-20;0
-24;-19,5;0
-24;-19;0
-24;-18,5;0
-24;-18;0,070889350399055
-24;-17,5;0
-24;-17;0
-24;-16,5;0
-24;-16;0
-24;-15,5;0,0940452018978108
-24;-15;0,11879393923934
-24;-14,5;0
-24;-14;0
-24;-12;0
-24;-11,5;0
-24;-11;0,125809685330967
-24;-10,5;0,13180777249043
-24;-10;0
-24;-9,5;0
-24;-9;0
-24;-8,5;0,0572756492761103
-24;-8;0
-24;-7;0
-24;-6,5;0
-24;-6;0
-24;-5,5;0
-24;-5;0
-24;-4,5;0
-24;-4;0
-24;-3,5;0,333320078565295
-24;-3;0,260561798030497
-24;-2,5;0
-24;-2;0
-24;-1,5;0
-24;-1;0
-24;-0,5;0
-24;0;0
-24;0,5;0,188630114937774
-24;1;0,184517623133275
-24;1,5;0,181732199498313
-24;2;0,156685132572401
-24;2,5;0,179213147902023
-24;3;0
-24;3,5;0
-24;4;0,174569774189595
-24;4,5;0,120012323928573
-24;5;0,301577027019311
-24;5,5;0,183272110989825
-24;6;0,281855163751409
-24;6,5;0
-24;7;0,103905405698324
-24;7,5;0,0923695992041909
-24;8;0
-24;9,5;0
-24;10;0
-24;10,5;0
-24;11;0
-23,5;-45,5;0
-23,5;-45;0
-23,5;-44,5;0
-23,5;-44;0
-23,5;-43,5;0
-23,5;-43;0
-23,5;-42,5;0
-23,5;-42;0
-23,5;-41,5;0
-23,5;-41;0
-23,5;-40,5;0,266542949562266
-23,5;-40;0,292561071650282
-23,5;-39,5;0
-23,5;-39;0
-23,5;-38,5;0
-23,5;-38;0,293493185610842
-23,5;-37,5;0,294075122677485
-23,5;-37;0
-23,5;-36,5;0,293803465245862
-23,5;-36;0,067175144212722
-23,5;-35,5;0
-23,5;-35;0
-23,5;-33,5;0
-23,5;-33;0
-23,5;-32,5;0
-23,5;-32;0
-23,5;-31,5;0
-23,5;-31;0
-23,5;-30,5;0
-23,5;-30;0
-23,5;-29,5;0,0555143160429297
-23,5;-29;0,12043324568684
-23,5;-28,5;0
-23,5;-28;0
-23,5;-27,5;0
-23,5;-27;0
-23,5;-26,5;0
-23,5;-26;0
